Product_Url,Priority
https://www.amazon.in/dp/B0CH6BG7MK,1
https://www.amazon.in/dp/B0CH6DCPKC,1
https://www.amazon.in/dp/B0CH6BVFQG,1
https://www.amazon.in/dp/B0CH5B7DYV,1
https://www.amazon.in/dp/B09X75ZYS5,1
https://www.amazon.in/dp/B0CH5BXDJ6,1
https://www.amazon.in/dp/B0CJ5G9PZP,1
https://www.amazon.in/dp/B0CJ5K4HK1,1
https://www.amazon.in/dp/B0CJ5K6WNM,1
https://www.amazon.in/dp/B0CH68DQ8K,1
https://www.amazon.in/dp/B0CH68DKPK,1
https://www.amazon.in/dp/B07MZZDY6T,1
https://www.amazon.in/dp/B07N14BD7Y,0
https://www.amazon.in/dp/B083ZDMWZ1,1
https://www.amazon.in/dp/B0B886KXG6,0
https://www.amazon.in/dp/B0CR45B1SH,1
https://www.amazon.in/dp/B0CR46YQRF,0
https://www.amazon.in/dp/B0CSFS1DPP,1
https://www.amazon.in/dp/B0CSFTZHVF,1
https://www.amazon.in/dp/B06WD7Z8GD,1
https://www.amazon.in/dp/B06WGTZ874,0
https://www.amazon.in/dp/B06X3Z9MF3,0
https://www.amazon.in/dp/B00400OMUK,1
https://www.amazon.in/dp/B07212NJ97,1
https://www.flipkart.com/product/p/itm?pid=AICFDPMBKYTHVYSB,1
https://www.flipkart.com/product/p/itm?pid=AICGF8KFFAPSZJES,1
https://www.flipkart.com/product/p/itm?pid=AICGWFW6ZCMBTVYG,0
https://www.flipkart.com/product/p/itm?pid=AICGXHTTRZNXQV72,1
https://www.flipkart.com/product/p/itm?pid=AICGWDGRUGZEZ2BX,1
https://www.flipkart.com/product/p/itm?pid=AICGNJQSUSFXNFB4,1
https://www.flipkart.com/product/p/itm?pid=AICGWDEGVNDGTAPV,1
https://www.flipkart.com/product/p/itm?pid=SWMGE79FTNPA9RQ3,1
https://www.flipkart.com/product/p/itm?pid=IRNEVTESQWWGWZZG,1
https://www.flipkart.com/product/p/itm?pid=IRNGDYFHVZJJVXGK,0
https://www.flipkart.com/product/p/itm?pid=IRNGEYDTGHPPDDVM,0
https://www.flipkart.com/product/p/itm?pid=IRNGEYDFWT4JXJEB,1
https://www.flipkart.com/product/p/itm?pid=IRNGEYDFD6KERT2G,0
https://www.flipkart.com/product/p/itm?pid=MIXGE7UU95SEZYNW,1
https://www.flipkart.com/product/p/itm?pid=MIXGE7UUKHWBGY2B,1
https://www.flipkart.com/product/p/itm?pid=EKTGSD8W8MYM8GGF,1
https://www.flipkart.com/product/p/itm?pid=FANGJWN8HU3EB7ZX,1
https://www.flipkart.com/product/p/itm?pid=FANGJWN8FY3GTCAR,1
https://www.flipkart.com/product/p/itm?pid=FANGJWN8DHU7JQZE,0
